Municipalities,Year,allAges,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,av_Income
Albertslund,1995,0.466160808465753,0.0646500391302868,0.0986763755146483,0.136105345537446,0.0884684745993399,0.0544421382149784,0.0204158018306169,0.00340263363843615,112856
Albertslund,1996,0.564933063991509,0.099291265792447,0.150648817064402,0.102715102543911,0.13010579655562,0.0582052247748827,0.0239668572602458,0,116396
Albertslund,1997,0.49249371645948,0.0679301677875144,0.125670810406902,0.0747231845662659,0.146049860743156,0.0577406426193873,0.0169825419468786,0.00339650838937572,120198
Albertslund,1998,0.499812995137874,0.0850022100574615,0.115603005678148,0.0918023868620584,0.129203359287341,0.0646016796436707,0.00340008840229846,0,125918
Albertslund,1999,0.457103871738018,0.0375234521575985,0.129626471089886,0.0989254647791233,0.0921030189322872,0.075046904315197,0.0238785604639263,0,130219
Albertslund,2000,0.3579830213767,0.0613685179502915,0.0750059663836896,0.0784153284920391,0.0852340527087382,0.0443217074085439,0.00340936210834953,0.00340936210834953,133963
Albertslund,2001,0.404095750145543,0.0513681038320605,0.102736207664121,0.102736207664121,0.0753398856203555,0.0616417245984727,0.0034245402554707,0.0034245402554707,139040
Albertslund,2002,0.408513559903879,0.0789564023343632,0.113285272914521,0.0720906282183316,0.0514933058702369,0.0755235152763474,0.017164435290079,0,143416
Albertslund,2003,0.506258885536947,0.0520128991990013,0.12829848469087,0.11789590485107,0.100558271784736,0.0866881653316689,0.0208051596796005,0,146751
Albertslund,2004,0.45617236297284,0.122815636184995,0.119306618008281,0.0877254544178539,0.0701803635342831,0.0491262544739982,0.00350901817671416,0,153294
Albertslund,2005,0.419242521139771,0.0746109571519932,0.110139984367228,0.0959283734811341,0.0532935408228523,0.0426348326582818,0.0355290272152348,0.00355290272152348,156611
Albertslund,2006,0.445194413528166,0.0825763831544178,0.118479158438947,0.071805550569059,0.0789861056259649,0.0646249955121531,0.0287222202276236,0,161196
Albertslund,2007,0.52883222254419,0.0941756012749928,0.170240509997102,0.108664155317299,0.0760649087221095,0.0579542161692263,0.0217328310634599,0,164943
Albertslund,2008,0.514455474240997,0.0869502209984784,0.155785812622274,0.0797043692486052,0.101441924498225,0.054343888124049,0.036229258749366,0,169042
Albertslund,2009,0.443947159460045,0.0794051829928535,0.122717100988955,0.115498447989605,0.0685772034938281,0.0541398974951274,0.00360932649967516,0,172800
Albertslund,2010,0.360620266858998,0.0613054453660296,0.0649116480346195,0.0793364587089794,0.111792282726289,0.0288496213487198,0.00360620266858997,0,183831
Albertslund,2011,0.449640287769784,0.0755395683453237,0.165467625899281,0.0503597122302158,0.100719424460432,0.0359712230215827,0.0179856115107914,0.00359712230215827,182828
Albertslund,2012,0.384008039046799,0.053832902670112,0.0825437840941717,0.0968992248062016,0.0789549239161642,0.053832902670112,0.0179443008900373,0,186626
Albertslund,2013,0.380966072455434,0.0575043128234618,0.0934445083381254,0.0575043128234618,0.0646923519263945,0.0646923519263945,0.0431282346175963,0,188093
Albertslund,2014,0.339007501442585,0.036064627813041,0.0937680323139065,0.122619734564339,0.0613098672821696,0.0216387766878246,0.0036064627813041,0,192715
Albertslund,2015,0.424368841257283,0.0611378839099475,0.100697691145796,0.0719269222469971,0.104294037258146,0.0539451916852478,0.0323671150111487,0,196771
Albertslund,2016,0.3012912482066,0.0538020086083214,0.0860832137733142,0.0645624103299857,0.0430416068866571,0.0286944045911047,0.0251076040172166,0,199705
Albertslund,2017,0.229423573272154,0.0322626899913966,0.0645253799827932,0.0466016633209062,0.0250932033266418,0.0430169199885288,0.0035847433323774,0.0035847433323774,202561
Albertslund,2018,0.230688822405652,0.0324406156507948,0.0540676927513247,0.0504631799012364,0.0360451285008831,0.046858667051148,0.00360451285008831,0,208399
Allerød,1995,0.315876213147775,0.0549349935909174,0.0274674967954587,0.0457791613257645,0.109869987181835,0.0686687419886468,0.00457791613257645,0.00457791613257645,138881
