"Municipalities","Year","allAges","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","av_Income","av_age"
"Albertslund","2005",0.419242521139771,0.0746109571519932,0.110139984367228,0.0959283734811341,0.0532935408228523,0.0426348326582818,0.0355290272152348,0.00355290272152348,156611,36.5
"Albertslund","2006",0.445194413528166,0.0825763831544178,0.118479158438947,0.071805550569059,0.0789861056259649,0.0646249955121531,0.0287222202276236,0,161196,36.9
"Albertslund","2007",0.52883222254419,0.0941756012749928,0.170240509997102,0.108664155317299,0.0760649087221095,0.0579542161692263,0.0217328310634599,0,164943,37.2
"Albertslund","2008",0.514455474240997,0.0869502209984784,0.155785812622274,0.0797043692486052,0.101441924498225,0.054343888124049,0.036229258749366,0,169042,37.4
"Albertslund","2009",0.443947159460045,0.0794051829928535,0.122717100988955,0.115498447989605,0.0685772034938281,0.0541398974951274,0.00360932649967516,0,172800,37.6
"Albertslund","2010",0.360620266858998,0.0613054453660296,0.0649116480346195,0.0793364587089794,0.111792282726289,0.0288496213487198,0.00360620266858997,0,183831,37.9
"Albertslund","2011",0.449640287769784,0.0755395683453237,0.165467625899281,0.0503597122302158,0.100719424460432,0.0359712230215827,0.0179856115107914,0.00359712230215827,182828,38.1
"Albertslund","2012",0.384008039046799,0.053832902670112,0.0825437840941717,0.0968992248062016,0.0789549239161642,0.053832902670112,0.0179443008900373,0,186626,38.3
"Albertslund","2013",0.380966072455434,0.0575043128234618,0.0934445083381254,0.0575043128234618,0.0646923519263945,0.0646923519263945,0.0431282346175963,0,188093,38.6
"Albertslund","2014",0.339007501442585,0.036064627813041,0.0937680323139065,0.122619734564339,0.0613098672821696,0.0216387766878246,0.0036064627813041,0,192715,38.9
"Albertslund","2015",0.424368841257283,0.0611378839099475,0.100697691145796,0.0719269222469971,0.104294037258146,0.0539451916852478,0.0323671150111487,0,196771,39.1
"Albertslund","2016",0.3012912482066,0.0538020086083214,0.0860832137733142,0.0645624103299857,0.0430416068866571,0.0286944045911047,0.0251076040172166,0,199705,39.3
"Albertslund","2017",0.229423573272154,0.0322626899913966,0.0645253799827932,0.0466016633209062,0.0250932033266418,0.0430169199885288,0.0035847433323774,0.0035847433323774,202561,39.5
"Albertslund","2018",0.230688822405652,0.0324406156507948,0.0540676927513247,0.0504631799012364,0.0360451285008831,0.046858667051148,0.00360451285008831,0,208399,39.8
"Allerød","2005",0.247250404979112,0.0298405661181686,0.0341035041350499,0.00426293801688123,0.0852587603376247,0.055418194219456,0.00426293801688123,0.00426293801688123,217789,38.4
"Allerød","2006",0.174482934717848,0.0212784066729083,0.0212784066729083,0.00425568133458167,0.0297897693420717,0.063835220018725,0.02553408800749,0,223367,38.7
"Allerød","2007",0.220254987504765,0.042356728366301,0.0296497098564107,0.0042356728366301,0.042356728366301,0.0804777838959719,0.0042356728366301,0.0042356728366301,228249,39
"Allerød","2008",0.183033243945005,0.0425658706848849,0.0340526965479079,0.00425658706848849,0.0468224577533733,0.0212829353424424,0.0212829353424424,0.00425658706848849,222414,39.4
"Allerød","2009",0.193106922463373,0.0419797657529071,0.00419797657529071,0.0209898828764535,0.0377817891776164,0.0545736954787792,0.0251878594517443,0.00419797657529071,224741,39.6
"Allerød","2010",0.186807256424094,0.0498152683797584,0.00415127236497987,0.0290589065548591,0.0373614512848188,0.0332101789198389,0.0249076341898792,0,251802,39.8
"Allerød","2011",0.228253652058433,0.0456507304116866,0.0332005312084993,0.0332005312084993,0.0581009296148738,0.0290504648074369,0.0290504648074369,0,261760,40.2
"Allerød","2012",0.22459759597388,0.0415921474025704,0.0540697916233415,0.00415921474025704,0.0291145031817993,0.0665474358441126,0.00415921474025704,0,266595,40.6
"Allerød","2013",0.22016366884061,0.0249241889253521,0.0623104723133801,0.0207701574377934,0.0207701574377934,0.0540024093382628,0.0332322519004694,0.00415403148755868,273294,41
"Allerød","2014",0.140641158221303,0.00413650465356774,0.00413650465356774,0.0206825232678387,0.00413650465356774,0.0248190279214064,0.0455015511892451,0.00413650465356774,280848,41.4
"Allerød","2015",0.14747449920118,0.0286755970668961,0.0327721109335955,0.00409651386669944,0.0286755970668961,0.0245790832001966,0.00409651386669944,0.00409651386669944,288485,41.7
"Allerød","2016",0.117256994986253,0.00404334465469837,0.0363901018922853,0.00404334465469837,0.0283034125828886,0.00404334465469837,0.00404334465469837,0.00404334465469837,293063,41.8
"Allerød","2017",0.112260444230615,0.0200465078983241,0.00400930157966482,0.00400930157966482,0.0240558094779889,0.0320744126373186,0.00400930157966482,0,300931,42.1
"Allerød","2018",0.186249256984347,0.0277392510402219,0.00396275014860313,0.0356647513374282,0.0396275014860313,0.031702001188825,0.0356647513374282,0,306103,42.2
"Assens","2005",0.131064779981068,0.00242712555520497,0.0242712555520497,0.0291255066624596,0.0339797577728696,0.0218441299968447,0.0121356277760249,0.00242712555520497,153647,40.6
"Assens","2006",0.20546786240905,0.0531799173294012,0.0217554207256641,0.0338417655732553,0.0435108414513283,0.0338417655732553,0.0145036138171094,0.00241726896951824,160910,40.7
"Assens","2007",0.181748612971112,0.0502200114788598,0.0310885785345322,0.0215228620623685,0.0334800076525732,0.0334800076525732,0.00239142911804094,0.00239142911804094,164289,40.8
"Assens","2008",0.192609502068769,0.0523136919199125,0.028534741047225,0.028534741047225,0.028534741047225,0.0380463213963,0.0166452656108812,0,161082,41
"Assens","2009",0.199392328142803,0.0474743638435245,0.0308583364982909,0.0332320546904672,0.042726927459172,0.0308583364982909,0.0142423091530573,0,168406,41.2
"Assens","2010",0.1902316069815,0.0523136919199125,0.0404242164835687,0.0142673705236125,0.0261568459599562,0.0356684263090312,0.01902316069815,0.00237789508726875,181933,41.4
"Assens","2011",0.156118650174132,0.0432328569712982,0.0264200792602378,0.0240182538729434,0.0312237300348265,0.0192146030983547,0.0120091269364717,0,184591,41.8
"Assens","2012",0.195449171150737,0.0313683854933282,0.0337813382235842,0.0241295273025601,0.0434331491446083,0.0434331491446083,0.0168906691117921,0.00241295273025601,189157,42.2
"Assens","2013",0.186327888687235,0.0387174833635814,0.0411373260738052,0.0314579552329099,0.0362976406533575,0.0217785843920145,0.0169388989715668,0,192580,42.7
"Assens","2014",0.182761897799547,0.0292419036479275,0.0438628554718912,0.0243682530399396,0.0389892048639033,0.0316787289519214,0.0146209518239637,0,194750,43.1
"Assens","2015",0.207084734200653,0.0316717828777469,0.0560346927837061,0.058470983774302,0.0243629099059592,0.0267992008965551,0.00243629099059592,0,199676,43.3
"Assens","2016",0.213467882786726,0.041238113720163,0.0485154279060741,0.0339607995342519,0.0291092567436445,0.041238113720163,0.0169803997671259,0.00242577139530371,202808,43.6
